date,title,amount
2024-06-24,99*,7.60
2024-06-22,Growth,120.89
2024-06-21,Shopee*Shopee Magnatta - Parcela 1/2,74.95
2024-06-17,Drogaria Sao Paulo,14.69
2024-06-15,Hs Express Jardim Orie,46.90
2024-06-15,Mcdonalds,17.00
2024-06-13,Amazonprimebr,19.90
2024-06-11,Gympass Gympassbr,59.90
2024-06-10,Cento e Onze Bar,48.80
2024-06-10,"Crédito de Confiança de ""Pag*Wellingtondearauj""",-131.40
2024-06-09,Pag*Wellingtondearauj,146.00
2024-06-09,Pag*Obeco,40.00
2024-06-09,Rabo de Galo,46.00
2024-06-08,"Estorno de ""Shopee*Shopee Tudobemp""",-28.94
2024-06-08,Rabo de Galo,4.50
2024-06-06,Saldo restante da fatura anterior,0.00
2024-06-06,Saldo restante da fatura anterior,0.00
2024-05-31,Pag*Alessandra,11.10
2024-05-31,Shopee*Shopee Tudobemp,28.94
2024-05-30,Pagamento recebido,-401.22
2024-05-30,"Estorno de ""Amazon""",-33.56
2024-05-30,Pag*Barbearia,35.00
2024-05-30,Vindi *Pratade15reais - Parcela 6/10,9.31
2024-05-30,Baw Clothing - 2 - Parcela 12/12,13.67
