date,title,amount
2024-07-21,Pag*Obeco,40.00
2024-07-21,Rabo de Galo,18.00
2024-07-21,Rabo de Galo,18.00
2024-07-14,Pag*Bhbaredanceteria,580.00
2024-07-14,Zig*Finesse,60.00
2024-07-14,Beco do Espeto,54.00
2024-07-14,99*,19.80
2024-07-11,Wellhub Gympass Br Gym,85.90
2024-07-11,Don Rafaello,117.98
2024-07-08,Saldo restante da fatura anterior,0.00
2024-07-08,Golden Sao Jose Grill,71.20
2024-07-08,Saldo restante da fatura anterior,0.00
2024-07-06,Tauste Supermercados,22.23
2024-07-05,Pag*Jacidemeloperes,35.00
2024-07-05,Pag*Lumabare,42.95
2024-07-01,Pagamento recebido,-434.91
2024-06-30,"Estorno de ""Shopee*Shopee Magnatta""",-149.90
2024-06-29,Shopee*Shopee Magnatta - Parcela 2/2,74.95
2024-06-29,Vindi *Pratade15reais - Parcela 7/10,9.31
