date,title,amount
2024-01-28,Pag*Barbearia,35.00
2024-01-27,Akame Sushi,87.89
2024-01-22,Livro Dados FC,56.45
2024-01-21,Presente Vanders Decathlon,56.00
2024-01-20,Youtubepremium,39.66
2024-01-20,Shopee - Equipamentos Celular e Org,185.68
2024-01-14,Sua Academia,129.90
2024-01-12,Vindi *Pratade15reais - Parcela 1/10,9.34
2024-01-08,Saldo restante da fatura anterior,0.00
2024-01-08,Saldo restante da fatura anterior,0.00
2024-01-05,Pag*Barbearia,35.00
2024-01-02,Pagamento recebido,-632.83
2023-12-30,7050 Shop Center Paul - Parcela 1/3,36.50
2023-12-30,Pg *Usaflex Usaflex - Parcela 2/4,57.50
2023-12-30,Baw Clothing - 2 - Parcela 7/12,13.68
2023-12-30,Ec*Insiderstore - Parcela 2/3,131.47
