date,title,amount
2024-05-28,Amazon,33.56
2024-05-27,Cento e Onze Bar,31.76
2024-05-27,Apa Vale Comercio de,18.00
2024-05-20,Google Youtubepremium,41.90
2024-05-13,Amazon,99.90
2024-05-11,Gympass Gympassbr,59.90
2024-05-08,Decathlon Sao Jose dos,70.00
2024-05-06,Saldo restante da fatura anterior,0.00
2024-05-06,Zigpay Goela Bar,41.77
2024-05-06,Saldo restante da fatura anterior,0.00
2024-05-05,Fbr Bar Ltda Epp,15.00
2024-04-29,Baw Clothing - 2 - Parcela 11/12,13.68
2024-04-29,Pagamento recebido,-487.45
2024-04-29,Vindi *Pratade15reais - Parcela 5/10,9.31
