date,title,amount
2023-12-27,Ec*Insiderstore - Parcela 1/3,131.47
2023-12-24,Cento e Onze Bar,69.50
2023-12-24,Padaria 9 de Julho,28.00
2023-12-24,Google Youtubepremium,13.90
2023-12-23,Uber* Trip,13.97
2023-12-17,Ifood *Ifd*e S Morae,68.97
2023-12-14,Sua Academia,129.90
2023-12-11,Jafe Lancheteria,36.19
2023-12-10,Pg *Usaflex Usaflex - Parcela 1/4,57.49
2023-12-09,Barbearia Eliseu,50.00
2023-12-07,Esquina do Espeto,19.76
2023-12-06,Saldo restante da fatura anterior,0.00
2023-12-06,Saldo restante da fatura anterior,0.00
2023-11-29,Baw Clothing - 2 - Parcela 6/12,13.68
2023-11-29,Pagamento recebido,-951.58
