date,title,amount
2024-04-28,Apa Vale Comercio de,52.00
2024-04-20,Google Youtubepremium,41.90
2024-04-20,Marcio,14.00
2024-04-15,Pag*Chopperiadojuiz,89.00
2024-04-11,Sua Academia,129.90
2024-04-08,Saldo restante da fatura anterior,0.00
2024-04-08,Saldo restante da fatura anterior,0.00
2024-04-07,Lanchonete Nova Magna,15.00
2024-04-07,Passaro Marron Tef,30.07
2024-04-04,Amazon,33.93
2024-03-30,Pg*Carrefour - Parcela 3/3,58.66
2024-03-30,Vindi *Pratade15reais - Parcela 4/10,9.31
2024-03-30,Baw Clothing - 2 - Parcela 10/12,13.68
